"tipo de juego","game_id/ fecha","equipo_local","equipo_visitante","semana","temporada","estatus _del_juego","marcador_local","marcador_visitante"
"reg","2015091000","NE","PIT","1","2015","POST","28","21"
"reg","2015091300","CHI","GB","1","2015","POST","23","31"
"reg","2015091306","HOU","KC","1","2015","POST","20","27"
"reg","2015091305","NYJ","CLE","1","2015","POST","31","10"
"reg","2015091304","BUF","IND","1","2015","POST","27","14"
"reg","2015091303","WAS","MIA","1","2015","POST","10","17"
"reg","2015091302","JAC","CAR","1","2015","POST","9","20"
"reg","2015091301","STL","SEA","1","2015","POST","34","31"
"reg","2015091307","ARI","NO","1","2015","POST","31","19"
"reg","2015091308","SD","DET","1","2015","POST","33","28"
"reg","2015091311","TB","TEN","1","2015","POST","14","42"
"reg","2015091310","OAK","CIN","1","2015","POST","13","33"
"reg","2015091309","DEN","BAL","1","2015","POST","19","13"
"reg","2015091312","DAL","NYG","1","2015","POST","27","26"
"reg","2015091400","ATL","PHI","1","2015","POST","26","24"
"reg","2015091401","SF","MIN","1","2015","POST","20","3"
"reg","2015091700","KC","DEN","2","2015","POST","24","31"
"reg","2015092000","CAR","HOU","2","2015","POST","24","17"
"reg","2015092009","PIT","SF","2","2015","POST","43","18"
"reg","2015092008","NO","TB","2","2015","POST","19","26"
"reg","2015092007","MIN","DET","2","2015","POST","26","16"
"reg","2015092006","CHI","ARI","2","2015","POST","23","48"
"reg","2015092001","BUF","NE","2","2015","POST","32","40"
"reg","2015092002","CIN","SD","2","2015","POST","24","19"
"reg","2015092003","CLE","TEN","2","2015","POST","28","14"
"reg","2015092004","NYG","ATL","2","2015","POST","20","24"
"reg","2015092005","WAS","STL","2","2015","POST","24","10"
"reg","2015092011","JAC","MIA","2","2015","POST","23","20"
"reg","2015092010","OAK","BAL","2","2015","POST","37","33"
"reg","2015092012","PHI","DAL","2","2015","POST","10","20"
"reg","2015092013","GB","SEA","2","2015","POST","27","17"
"reg","2015092100","IND","NYJ","2","2015","POST","7","20"
"reg","2015092400","NYG","WAS","3","2015","POST","32","21"
"reg","2015092700","DAL","ATL","3","2015","POST","28","39"
"reg","2015092709","TEN","IND","3","2015","POST","33","35"
"reg","2015092708","CLE","OAK","3","2015","POST","20","27"
"reg","2015092707","BAL","CIN","3","2015","POST","24","28"
"reg","2015092706","NE","JAC","3","2015","POST","51","17"
"reg","2015092701","CAR","NO","3","2015","POST","27","22"
"reg","2015092702","NYJ","PHI","3","2015","POST","17","24"
"reg","2015092703","HOU","TB","3","2015","POST","19","9"
"reg","2015092704","MIN","SD","3","2015","POST","31","14"
"reg","2015092705","STL","PIT","3","2015","POST","6","12"
"reg","2015092710","ARI","SF","3","2015","POST","47","7"
"reg","2015092712","MIA","BUF","3","2015","POST","14","41"
"reg","2015092711","SEA","CHI","3","2015","POST","26","0"
"reg","2015092713","DET","DEN","3","2015","POST","12","24"
"reg","2015092800","GB","KC","3","2015","POST","38","28"
"reg","2015100100","PIT","BAL","4","2015","POST","20","23"
"reg","2015100400","MIA","NYJ","4","2015","POST","14","27"
"reg","2015100404","IND","JAC","4","2015","POST","16","13"
"reg","2015100407","BUF","NYG","4","2015","POST","10","24"
"reg","2015100406","TB","CAR","4","2015","POST","23","37"
"reg","2015100405","WAS","PHI","4","2015","POST","23","20"
"reg","2015100401","CHI","OAK","4","2015","POST","22","20"
"reg","2015100402","ATL","HOU","4","2015","POST","48","21"
"reg","2015100403","CIN","KC","4","2015","POST","36","21"
"reg","2015100408","SD","CLE","4","2015","POST","30","27"
"reg","2015100409","SF","GB","4","2015","POST","3","17"
"reg","2015100410","ARI","STL","4","2015","POST","22","24"
"reg","2015100411","DEN","MIN","4","2015","POST","23","20"
"reg","2015100412","NO","DAL","4","2015","POST","26","20"
"reg","2015100500","SEA","DET","4","2015","POST","13","10"
"reg","2015100800","HOU","IND","5","2015","POST","20","27"
"reg","2015101101","KC","CHI","5","2015","POST","17","18"
"reg","2015101102","CIN","SEA","5","2015","POST","27","24"
"reg","2015101103","ATL","WAS","5","2015","POST","25","19"
"reg","2015101104","TB","JAC","5","2015","POST","38","31"
"reg","2015101100","PHI","NO","5","2015","POST","39","17"
"reg","2015101105","BAL","CLE","5","2015","POST","30","33"
"reg","2015101107","GB","STL","5","2015","POST","24","10"
"reg","2015101106","TEN","BUF","5","2015","POST","13","14"
"reg","2015101108","DET","ARI","5","2015","POST","17","42"
"reg","2015101109","DAL","NE","5","2015","POST","6","30"
"reg","2015101110","OAK","DEN","5","2015","POST","10","16"
"reg","2015101111","NYG","SF","5","2015","POST","30","27"
"reg","2015101200","SD","PIT","5","2015","POST","20","24"
"reg","2015101500","NO","ATL","6","2015","POST","31","21"
"reg","2015101801","NYJ","WAS","6","2015","POST","34","20"
"reg","2015101802","PIT","ARI","6","2015","POST","25","13"
"reg","2015101803","MIN","KC","6","2015","POST","16","10"
"reg","2015101804","BUF","CIN","6","2015","POST","21","34"
"reg","2015101800","DET","CHI","6","2015","POST","37","34"
"reg","2015101805","CLE","DEN","6","2015","POST","23","26"
"reg","2015101807","JAC","HOU","6","2015","POST","20","31"
"reg","2015101806","TEN","MIA","6","2015","POST","10","38"
"reg","2015101808","SEA","CAR","6","2015","POST","23","27"
"reg","2015101809","GB","SD","6","2015","POST","27","20"
"reg","2015101810","SF","BAL","6","2015","POST","25","20"
"reg","2015101811","IND","NE","6","2015","POST","27","34"
"reg","2015101900","PHI","NYG","6","2015","POST","27","7"
"reg","2015102200","SF","SEA","7","2015","POST","3","20"
"reg","2015102500","JAC","BUF","7","2015","POST","34","31"
"reg","2015102505","WAS","TB","7","2015","POST","31","30"
"reg","2015102508","TEN","ATL","7","2015","POST","7","10"
"reg","2015102507","IND","NO","7","2015","POST","21","27"
"reg","2015102506","DET","MIN","7","2015","POST","19","28"
"reg","2015102504","KC","PIT","7","2015","POST","23","13"
"reg","2015102501","STL","CLE","7","2015","POST","24","6"
"reg","2015102502","MIA","HOU","7","2015","POST","44","26"
"reg","2015102503","NE","NYJ","7","2015","POST","30","23"
"reg","2015102509","SD","OAK","7","2015","POST","29","37"
"reg","2015102510","NYG","DAL","7","2015","POST","27","20"
"reg","2015102511","CAR","PHI","7","2015","POST","27","16"
"reg","2015102600","ARI","BAL","7","2015","POST","26","18"
"reg","2015102900","NE","MIA","8","2015","POST","36","7"
"reg","2015110100","KC","DET","8","2015","POST","45","10"
"reg","2015110105","ATL","TB","8","2015","POST","20","23"
"reg","2015110108","CLE","ARI","8","2015","POST","20","34"
"reg","2015110107","STL","SF","8","2015","POST","27","6"
"reg","2015110106","NO","NYG","8","2015","POST","52","49"
"reg","2015110104","CHI","MIN","8","2015","POST","20","23"
"reg","2015110101","BAL","SD","8","2015","POST","29","26"
"reg","2015110102","PIT","CIN","8","2015","POST","10","16"
"reg","2015110103","HOU","TEN","8","2015","POST","20","6"
"reg","2015110109","OAK","NYJ","8","2015","POST","34","20"
"reg","2015110110","DAL","SEA","8","2015","POST","12","13"
"reg","2015110111","DEN","GB","8","2015","POST","29","10"
"reg","2015110200","CAR","IND","8","2015","POST","29","26"
"reg","2015110500","CIN","CLE","9","2015","POST","31","10"
"reg","2015110801","CAR","GB","9","2015","POST","37","29"
"reg","2015110802","NE","WAS","9","2015","POST","27","10"
"reg","2015110803","NO","TEN","9","2015","POST","28","34"
"reg","2015110804","BUF","MIA","9","2015","POST","33","17"
"reg","2015110800","MIN","STL","9","2015","POST","21","18"
"reg","2015110805","NYJ","JAC","9","2015","POST","28","23"
"reg","2015110806","PIT","OAK","9","2015","POST","38","35"
"reg","2015110807","TB","NYG","9","2015","POST","18","32"
"reg","2015110808","SF","ATL","9","2015","POST","17","16"
"reg","2015110809","IND","DEN","9","2015","POST","27","24"
"reg","2015110810","DAL","PHI","9","2015","POST","27","33"
"reg","2015110900","SD","CHI","9","2015","POST","19","22"
"reg","2015111200","NYJ","BUF","10","2015","POST","17","22"
"reg","2015111501","GB","DET","10","2015","POST","16","18"
"reg","2015111502","TB","DAL","10","2015","POST","10","6"
"reg","2015111503","TEN","CAR","10","2015","POST","10","27"
"reg","2015111504","STL","CHI","10","2015","POST","13","37"
"reg","2015111500","WAS","NO","10","2015","POST","47","14"
"reg","2015111505","PHI","MIA","10","2015","POST","19","20"
"reg","2015111507","PIT","CLE","10","2015","POST","30","9"
"reg","2015111506","BAL","JAC","10","2015","POST","20","22"
"reg","2015111508","OAK","MIN","10","2015","POST","14","30"
"reg","2015111509","NYG","NE","10","2015","POST","26","27"
"reg","2015111510","DEN","KC","10","2015","POST","13","29"
"reg","2015111511","SEA","ARI","10","2015","POST","32","39"
"reg","2015111600","CIN","HOU","10","2015","POST","6","10"
"reg","2015111900","JAC","TEN","11","2015","POST","19","13"
"reg","2015112201","DET","OAK","11","2015","POST","18","13"
"reg","2015112202","ATL","IND","11","2015","POST","21","24"
"reg","2015112208","BAL","STL","11","2015","POST","16","13"
"reg","2015112204","PHI","TB","11","2015","POST","17","45"
"reg","2015112200","CHI","DEN","11","2015","POST","15","17"
"reg","2015112203","HOU","NYJ","11","2015","POST","24","17"
"reg","2015112206","CAR","WAS","11","2015","POST","44","16"
"reg","2015112207","MIA","DAL","11","2015","POST","14","24"
"reg","2015112211","SD","KC","11","2015","POST","3","33"
